Date,Open,High,Low,Close,Volume
7/20/2020 15:30:00,128.7,133.9,128.7,133.25,2497039
7/21/2020 15:30:00,134,136.3,132.7,134.6,2574189
7/22/2020 15:30:00,134.6,135,130.7,133.75,1568968
7/23/2020 15:30:00,134,139,134,138.1,1820913
7/24/2020 15:30:00,136.9,138.4,134.25,135.2,1425464
7/27/2020 15:30:00,136.7,137.35,133.5,135.55,2146773
7/28/2020 15:30:00,135.55,137.25,135,136.4,596977
7/29/2020 15:30:00,136.5,137.7,134.5,136.2,734922
7/30/2020 15:30:00,136.3,140,136,138.5,2177669
7/31/2020 15:30:00,138.95,138.95,136.7,138,1461076
8/3/2020 15:30:00,136,139.4,134.5,138,1220414
8/4/2020 15:30:00,139.3,141.7,137.4,138.5,1308733
8/5/2020 15:30:00,139,140.1,137.05,138.5,995829
8/6/2020 15:30:00,139,141,138.4,139.9,792071
8/7/2020 15:30:00,140.9,141,137.15,138,961673
8/10/2020 15:30:00,139.35,140.75,137.55,138,1271295
8/11/2020 15:30:00,138.7,139.7,136.05,136.5,568173
8/12/2020 15:30:00,136.45,136.45,134.1,134.5,528987
8/13/2020 15:30:00,135,135.7,132.1,132.65,865724
8/14/2020 15:30:00,133.45,137.4,132,135.4,1676125
8/17/2020 15:30:00,135.5,136.45,133.4,135.45,1138431
8/18/2020 15:30:00,136,142,135.6,140.75,2587840
8/19/2020 15:30:00,141.5,141.9,138.75,139.7,1815591
8/20/2020 15:30:00,138.9,141.5,138.2,139.9,1214485
8/21/2020 15:30:00,140,142.8,136.1,137.6,3748277
8/24/2020 15:30:00,137.5,140.75,135.55,139.05,3340644
8/25/2020 15:30:00,139.4,139.5,135.7,136.05,821573
8/26/2020 15:30:00,136.4,137.35,135.6,135.9,536753
8/27/2020 15:30:00,135.9,137.6,135.1,135.6,1386115
8/28/2020 15:30:00,135.9,136.1,133,133.15,861716
8/31/2020 15:30:00,133.45,133.9,129.25,132.8,2214705
9/1/2020 15:30:00,133.9,133.9,130.65,131.75,692584
9/2/2020 15:30:00,132.45,135.45,131.7,133.4,415041
9/3/2020 15:30:00,133.7,135.1,132.05,132.65,703510
9/4/2020 15:30:00,131.95,134,130.95,133.1,836301
9/7/2020 15:30:00,133.85,136,133.35,134.9,791905
9/8/2020 15:30:00,134.8,136.95,133.3,135.35,817844
9/9/2020 15:30:00,135,136.75,134.3,135.05,1282401
9/10/2020 15:30:00,135.1,135.9,133.1,133.6,746661
9/11/2020 15:30:00,134.15,138.9,133.6,135.25,3276278
9/14/2020 15:30:00,135.95,136.25,131.6,132.9,843084
9/15/2020 15:30:00,133.1,133.7,130.8,131.45,1037531
9/16/2020 15:30:00,133,133.7,131.6,132.35,691409
9/17/2020 15:30:00,132,135.75,131.5,134.7,739292
9/18/2020 15:30:00,135,135.85,131.8,132.95,738149
9/21/2020 15:30:00,133.1,134.7,130.2,131.35,639217
9/22/2020 15:30:00,131.35,133,129.45,132.05,567004
9/23/2020 15:30:00,132.6,137.55,132.2,134.9,1674533
9/24/2020 15:30:00,133.6,141.45,133,136.5,3381745
9/25/2020 15:30:00,137.2,138.75,135.55,137.15,1049484
9/28/2020 15:30:00,137.8,139,137,137.1,1196300
9/29/2020 15:30:00,137.4,137.9,136,136.3,1013579
9/30/2020 15:30:00,136.5,136.9,134.1,135.3,677714
10/1/2020 15:30:00,135.9,136.3,135,135.3,460099
10/5/2020 15:30:00,136.3,136.85,135,135.15,590977
10/6/2020 15:30:00,135.45,137.2,134.2,134.9,3355337
10/7/2020 15:30:00,135,142.7,134.25,140.15,5218673
10/8/2020 15:30:00,139.85,139.9,135.6,135.95,2018482
10/9/2020 15:30:00,135.95,136.9,132.75,133.6,8745623
10/12/2020 15:30:00,134.9,136.4,133,133.8,1537084
10/13/2020 15:30:00,133.9,138.4,133.85,136.45,3802545
10/14/2020 15:30:00,136,136,127.55,129.9,8394290
10/15/2020 15:30:00,130.4,130.8,126.15,126.85,1113162
10/16/2020 15:30:00,127.4,128.5,125.5,127.05,1496402
10/19/2020 15:30:00,127.5,128.4,126.1,126.9,1464628
10/20/2020 15:30:00,126.8,127.25,125.15,125.45,704074
10/21/2020 15:30:00,125.8,127.9,125.55,126.9,1554676
10/22/2020 15:30:00,126.8,128.7,126.5,128.3,763222
